"Firma";"Website";"Bedarf";"DL Beschreibung";"Geschäftsführung";"Gefundene E-Mails";"GF-Mail (belegt/rekonstruiert)";"Hinweis"
"KI-Zentrum fuer Blinde und Sehbehinderte gGmbH";"https://ki-zentrum.nrw/";"Ja";"• Entwickelt KI-basierte Hilfsmittel für blinde und sehbehinderte Menschen
• Apps, Alltagshelfer und Robotersysteme für selbstbestimmtes Leben
• KI zur Kompensation altersbedingter Seheinschränkungen; gemeinnützig";"Joerg Balters";"service@ki-zentrum.nrw";"";"Impressum (imprint.html): GF Joerg Balters. Nur service@-Adresse."
"Klangio GmbH";"https://klang.io/";"Ja";"• KI-gestützte Musiktranskription: Audio/MP3/YouTube zu Noten, TABs, MIDI und MusicXML
• Zahlreiche Apps/Produkte (Piano2Notes, Guitar2Tabs, Melody Scanner) und Klangio API
• Über 10 Mio. Transkriptionen, Made in Germany";"Sebastian Murgul";"hello@klang.io";"";"Imprint (klang.io/imprint): vertreten durch Sebastian Murgul. Nur hello@-Adresse."
"KLEOS GmbH";"https://www.kleos.ai/";"Ja";"• KI-gestützte Patent- und Wissenschaftssuche (Produkt KWINTELY) als Service
• Natural Language Understanding, semantische Suchmaschine und Netzwerkanalyse
• Wandelt Big Data in strukturierte Smart Data für forschungsgetriebene Unternehmen und Kanzleien";"";"";"";"Nicht erreichbar (Connection reset / 503 ueber curl und WebFetch). Keine Daten extrahierbar."
"Konux GmbH";"https://www.konux.com/";"Ja";"• KI-gestützte SaaS-Lösungen für Bahninfrastruktur
• Predictive Maintenance für Weichen mittels IIoT-Sensoren und Machine Learning
• Fahrplan-Optimierung und Verspätungsreduktion
• Kombination aus Hardware-Sensorik und ML-Modellen";"Johanna Leisch, Shlomi Hagai";"info@konux.com";"";"Legal notice: Managing Directors Johanna Leisch, Shlomi Hagai. Mail als Cloudflare data-cfemail verschleiert, dekodiert zu info@konux.com. Kein persoenliches Muster."
"Kopernikus KI powered by bellboxx GmbH";"https://www.kopernikus.ai/";"Vielleicht";"• KI-Beratung, Workshops und Schulungen
• Technische Umsetzung von KI-Projekten (Machine Learning, Automatisierung)
• KI-Readiness-Check als Online-Tool
• Begleitung von der Idee bis zur Anwendung";"Ingo-Marc Ferdini";"info@bellboxx.com; info@kopernikus.ai";"";"Impressum (Produkt der bellboxx GmbH): GF Ingo-Marc Ferdini. Nur generische info@-Adressen."
"Krankikom GmbH";"https://www.krankikom.de/";"Vielleicht";"• Digitalagentur und Softwarehaus aus Duisburg
• Individuelle Softwareentwicklung und Plattformen
• Design, UX, Online-Marketing, Cloud-Betrieb
• KI-Lösungen und KI-Agenten sowie eigene Produkte (AIvalue, assessura)";"Gregor Draute, Estelle Engels, Michaela Hares, Alexander Kranki, Holger Ruhfus";"post@krankikom.de; info@krankikom.de";"";"Impressum. Nur Rollen-Mails, kein persoenliches Muster ableitbar."
"kubion GmbH";"https://www.kubion.io/";"Ja";"• KI-Beratung und Prozessoptimierung aus Osnabrück
• Computer Vision für Echtzeit-Bildanalyse
• Data Science, Deep Learning, Cloud- und Data Engineering
• Entwicklung produktionsreifer KI-Systeme von Idee bis Umsetzung";"Gerrit Johannes Meyer zu Driehausen, Henri Graf";"info@kubion.io";"";"Impressum. Nur Rollen-Mail, kein Muster ableitbar."
"KURZ Digital Solutions GmbH & Co. KG";"https://www.kurzdigital.com/";"Vielleicht";"• Digital-Inkubator der KURZ-Gruppe aus Fürth
• Intelligente Maschinendatenerfassung mit KI für die Fertigung
• Prozessdatenanalyse und KI-Plattform
• Digitaler Produktpass und Membership-Ökosysteme";"Dr. Benno Schmitzer";"info@kurzdigital.com";"";"Impressum via Browser-UA (Cloudfront blockte Standard-curl). Nur Rollen-Mail."
"Laigo GmbH";"https://www.laigo.ai/";"Vielleicht";"• On-Premise-KI-Lösungen für Unternehmen mit sensiblen Daten
• Laigo GPT als schlüsselfertige, lokale KI-Appliance
• DSGVO- und EU-AI-Act-konform, keine Cloud
• Zielgruppe: regulierte Branchen (Medizin, Finanzen, Behörden)";"Michael Bauner (CEO)";"info@laigo.ai; Sales@laigo.ai";"";"Impressum (info(aet)laigo.ai dekodiert). Nur Rollen-Mails, kein Muster ableitbar."
"Lakera AI AG";"https://lakera.ai/";"Ja";"• KI-Sicherheitsplattform für Generative AI
• Schutz vor Prompt-Injection, Jailbreaks und Datenlecks
• AI Red Teaming und Agent Security in Echtzeit
• Gandalf als interaktives Sicherheitstraining";"";"";"";"Impressum (JS/Webflow) ohne Namen und Mails; Firma an Check Point verkauft. Keine Daten belegbar."
"Langdock GmbH";"https://langdock.com/";"Vielleicht";"• Plattform für unternehmensweite KI-Adoption
• Modellunabhängiger KI-Chat, Workflows und Agents
• Integrationen und API für bestehende Tools
• Europäisches Hosting, DSGVO- und ISO-27001-konform";"Jonas Beisswenger, Tobias Kemkes, Lennard Schmidt";"support@langdock.com";"";"Imprint. Nur Rollen-Mail, kein Muster ableitbar."
"Lavrio.solutions GmbH";"https://lavrio.solutions/";"Ja";"• KI- und Machine-Learning-Beratung
• Schulungen, Data Review und Implementierung individueller KI-Modelle
• Eigenes Produkt VersaShift (KI-Einsatzplanung für Kliniken)
• Forschungsprojekte zu Entscheidungsunterstützung";"Natalie Beyer, Jens Beyer";"mail@lavrio.solutions";"";"Impressum (mail(at)lavrio.solutions dekodiert). Nur Rollen-Mail."
"Lawtechgroup GmbH";"https://www.lawtechgroup.de/";"Vielleicht";"• Legal-Tech für Prozesskosten-Investitionen
• KI-gestützte Bewertung von Erfolgsaussichten von Rechtsansprüchen
• Prädiktive Analysen und statistische Modelle
• Spezialisierung auf Versicherungsvertrags-Widerrufe";"Daniel Kappes";"info@lawtechgroup.de";"";"Impressum. Nur Rollen-Mail, kein Muster ableitbar."
"Leapter GmbH";"https://www.leapter.com/";"Vielleicht";"• Plattform für Geschäftslogik-Entwicklung mit KI
• Umwandlung von Geschäftsregeln in visuelle, prüfbare Diagramme
• Deterministische, nachvollziehbare Ausführung
• API-Integration für regulierte Branchen";"Oliver Welte, Robert Werner";"info@leapter.com";"";"Impressum. Nur Rollen-Mail, kein Muster ableitbar."
"Lemberg Solutions GmbH";"https://lembergsolutions.com/";"Vielleicht";"• Technologieberatung und Softwareentwicklung (360° Engineering)
• Web-/Mobile-Entwicklung, Cloud & DevOps
• Embedded Engineering inkl. Edge-AI
• Data & AI: Machine Learning und Datenanalyse";"Oleh Naumko (Director)";"";"";"Imprint/Contact ohne belegte E-Mail-Adresse."
"levity.ai";"https://levity.ai/";"Ja";"• KI-Automatisierung für die Logistikbranche
• Analyse und Automatisierung von E-Mail-Kommunikation in Lieferketten
• Integration mit SAP, Cargowise, Zendesk
• Human-in-the-Loop-Qualitätskontrolle, über 100 Mio. E-Mails verarbeitet";"Gero Keil, Thilo Huellmann";"hello@levity.ai; dpa@levity.ai";"";"Imprint (Levity AI GmbH). Nur Rollen-Mails, kein Muster ableitbar."
"Lhotse Technologies GmbH";"https://www.lhotse.de/";"Vielleicht";"• KI-native SaaS-Plattform für Enterprise-Procurement
• Virtueller Beschaffungsassistent, u.a. für SAP Ariba
• Automatisierung von Bestellungen, Lieferanten- und Rechnungsverwaltung
• Europäisches Hosting, DSGVO-konform";"Can Akin";"hello@lhotse.de";"";"Imprint. Nur Rollen-Mail, kein Muster ableitbar."
"Limebit GmbH";"https://www.limebit.de/";"Ja";"• Data-Science-Partner für die Gesundheitswirtschaft
• Real-World-Evidence und klinische Datenanalyse
• Machine Learning und Prognosesysteme für Versorgungsprozesse
• Health Data Platforms und analytische WebApps";"Philipp Grosser, Oliver Franke, Florian Richter";"info@limebit.de";"";"Legal-Seite. Nur Rollen-Mail, kein Muster ableitbar."
"Linovy UG";"https://linovy.de/";"Vielleicht";"• AI- & Cloud-Partner für digitale Transformation im Mittelstand
• KI-gestützte Service Agents und Chatbots
• Google-Cloud-Partner, Datenintegration und Prozessautomatisierung
• Individuelle Softwareentwicklung, DSGVO-Fokus";"Mark Czarnetzki";"info@linovy.de";"";"Impressum. Nur Rollen-Mail, kein Muster ableitbar."
"Lisios GmbH";"https://www.lisios.de/";"Vielleicht";"• Frühwarnsystem gegen Wasserschäden (Lisios WasserAlarm)
• Sensorik plus KI zur frühzeitigen Erkennung von Mikroleckagen
• App mit Alarmierung und Wasserverbrauchsanalyse
• Zusätzlich maßgeschneiderte IoT-Lösungen (Lisios Tech)";"Patrick Franken";"kontakt@lisios.de; kontakt@lisios.com";"";"Impressum. Nur Rollen-Mails, kein Muster ableitbar."
"LMIS AG";"https://www.lmis.de/";"Vielleicht";"• Digitalisierungspartner für den Mittelstand (Osnabrück)
• KI-Lösungen zur Prozessautomatisierung und Datennutzung
• Individuelle Softwareentwicklung und Schnittstellen
• Managed Applications, Produkte wie DocumentPilot, Dynamian, Darktrace";"Sascha Doemer (CDO), Daniel Oliver Augsten (CGO) (Vorstaende)";"info@lmis.de; media@LMIS.de";"";"Impressum. Nur Rollen-Mails, kein Muster ableitbar."
"logarithmo GmbH & Co. KG";"https://www.logarithmo.de/";"Vielleicht";"• Softwarepartner für datenbasierte Services im Energiesektor und in der Produktion
• Cloudbasierter B2B-AppStore für Handel, Netz, Vertrieb, Planung, Prognosen
• Schnelle Web-App-Entwicklung mit eigenem Framework
• Datenanalyse mit mathematischen Toolboxen zur Prozessoptimierung";"Dr. Felix Friemann, Dr. Sven Christian Mueller, Dr. Sebastian Ruthe";"team@logarithmo.de";"";"Impressum. Nur Rollen-Mail, kein Muster ableitbar."
"Logiks Solutions GmbH";"https://logiks.solutions/";"Vielleicht";"• Plattform für Intelligent Operations (Logistik, Retail, Fertigung)
• Cloud-Warehouse-Management-System (WMS), SAP-B1-kompatibel
• Multi-Carrier-Shipping-Lösung
• AI Suite mit intelligenten Agents zur Prozessautomatisierung";"Philipp Prestele";"info@logiks.solutions";"";"Imprint. Nur Rollen-Mail, kein Muster ableitbar."
"Logsight.ai";"https://logsight.ai/";"Ja";"• KI-Dienstleister aus Berlin ('Transforming your Business with AI')
• Datenstrategie und maßgeschneiderte KI-Entwicklung
• AI Operation: Betrieb und Skalierung von KI-Infrastruktur
• Research-Komponente, Fokus Fertigung, öffentlicher Sektor, IT-Betrieb";"Dr. Alexander Acker";"info@logsight.ai; logsight@logsight.ai";"";"Impressum. Nur Rollen-Mails, kein Muster ableitbar."
"LOLML GmbH";"https://lolml.com/";"Ja";"• AI & Data Science Lab, maßgeschneiderte KI-Agenten
• LLM-Anwendungen inkl. Fine-tuning und multimodale Modelle
• Autonome Entscheidungssysteme, Optimierung, Zeitreihen
• Anwendungen von Finanzmarkt-Simulation bis Prozesssteuerung";"Julian Wergieluk";"info@lolml.com";"";"Impressum JS-gerendert, per curl nicht abrufbar; GF und info@-Mail laut Handelsregister/Websuche."
"LOX Solutions GmbH";"https://www.lox-solutions.eu/";"Vielleicht";"• Digitale Transformation, IT-Architektur, Cybersicherheit
• AI & Data Strategy, KI-Integration in Geschäftsprozesse
• Prozessautomatisierung und schnelle Proof-of-Concepts
• Fokus auf europäische Souveränität und modulare Architekturen";"Victor A. Albrecht, Ch. Poyatos Ohler";"contact@lox-solutions.eu";"";"contact@ woertlich von Website; GF laut Handelsregister; keine persoenliche Mail, kein Muster."
"Lucid Labs GmbH";"https://www.lucidlabs.de/";"Vielleicht";"• Entwicklung und Betrieb von KI-Agenten für den Mittelstand
• Prototypen, Workshops und Strategie-Sprints
• Dediziertes KI-Team ('KI-Manufaktur') als Abo
• Control Center zur Erfolgs- und Einsparungsmessung";"Marek Janetzke";"hello@lucidlabs.de";"";"Impressum: 'Vertreten durch: Marek Janetzke'; Mail verschleiert 'hello (at) lucidlabs.de' dekodiert. Nur generische Mail."
"LUIS Technology GmbH";"https://www.luis.de/";"Ja";"• KI-Assistenzsysteme für Nutzfahrzeuge und mobile Maschinen
• Fahrerassistenz (ADAS): Abbiege-, Anfahr-, Rückfahrassistent
• SAFE VISION AI Framework und Edge-AI-Kameras mit Personenerkennung
• Embedded-AI-Kameras für automatisierte/autonome Anwendungen";"Dr. Matthias Feistel, Martin Groschke";"";"";"GF woertlich aus Impressum; keine E-Mail auf Impressum/Kontakt (Kontaktformular)."
"Luup.Systems GmbH";"https://www.luup-systems.com/";"Vielleicht";"• Intelligente Assistenz- und Integrationsplattform für Unternehmen
• Fokus auf Enterprise-Kunden (u.a. Berliner Stadtwerke, IU Group)
• ISO-27001-zertifiziert, DSGVO-konform, EU-basiert
• Analyse-/Ergebnisfunktionen und Softwareintegration";"Leonard Vincent Petter";"info@luup-systems.com";"";"Impressum JS-gerendert, per curl/WebFetch nicht abrufbar (404); GF und Mail laut Handelsregister/Websuche. Firma evtl. inaktiv/nach Potsdam verlegt."
"LUVIS AI GmbH";"https://luvis.ai/";"Ja";"• Embedded-AI-Hardware und -Software für mobile Arbeitsmaschinen
• Maßgeschneiderte KI-Algorithmen (Laderaumanalyse, Personenerkennung)
• Beratung, Konzeption bis schlüsselfertige Umsetzung
• Ziel: führender Anbieter von Embedded-Vision-/Akustik-KI (Hamburg)";"Nicolas Hoyer (Gruender/GF); Stephan Hotto (2023 ausgeschieden)";"";"";"Site nicht abrufbar (503); GF laut Handelsregister/Websuche. Firma wird lt. Websuche abgewickelt. Keine Mail belegbar."
"mAInthink GmbH";"https://www.mainthink.ai/";"Vielleicht";"• Decision Intelligence und Portfolio-Optimierung mit KI/Mathematik
• Flaggschiff StratePlan zur Investitions-/Projektportfolio-Optimierung
• Mehrjahres-CAPEX-Planung, PPM, Opportunitätskostenberechnung
• Zielmärkte Industrie, öffentlicher Sektor, Immobilien, Private Equity";"Sascha Rissel";"";"";"GF aus Imprint; keine E-Mail auf Imprint (nur Telefon)."
"MANAGBL. AI GmbH";"https://www.managbl.ai/";"Vielleicht";"• KI-gestützte Kundenservice-Automatisierung für die Immobilienwirtschaft
• KI-Anrufannahme mit Erkennung von Anrufer, Liegenschaft und Anliegen
• WhatsApp-KI-Support und Ticketing mit CRM-Integration
• Aufwandsanalysen und Störungsmeldungen";"Mario Nagel, Amos Tadeusz Poznanski";"hello@managbl.ai";"";"hello@ woertlich; GF laut Handelsregister. Nur generische Mail. Von casavi uebernommen."
"manufactAI";"https://manufactai.com/";"Ja";"• Plattform, die zuverlässige KI zur Arbeitsautomatisierung trainiert
• Enterprise-KI-Lösungen mit ML-Modellen
• Custom AI Development und Workflow-Integration
• Fokus auf verlässliche, produktionsreife Automatisierung";"Maria Bergmane, Ole Meyer";"hello@manufactai.com";"";"hello@ woertlich; GF laut Handelsregister. Nur generische Mail."
"Masasana GmbH";"https://www.masasana.ai/";"Vielleicht";"• KI-Beratung und -Schulung für den Mittelstand (BAFA-gefördert)
• CyberRisiko-Check nach DIN SPEC 27076, AI Management System
• Maßgeschneiderte KI-/Softwareentwicklung
• Speziallösungen für Steuerberater (DATEV-Partner)";"Jonas Becher";"info@masasana.ai";"";"info@ woertlich (mailto) aus Impressum; GF laut Websuche/Registereintrag. Nur generische Mail."
"MechLab Engineering UG";"https://mechlab-engineering.de/";"Vielleicht";"• Ingenieurdienstleistungen: Planen, Entwickeln, Starten
• Implementierung von Algorithmen, APIs und KI-Modellen
• Geodatenverarbeitung, Kartografie, Datenaufbereitung und Machine Learning
• Produkte u.a. CartoX API (C-ITS), adaptives Kalman-Filter";"Paul Balzer";"kontakt@mechlab-engineering.de";"";"Impressum: 'Vertretungsberechtigte Person: Paul Balzer'; Mail verschleiert 'kontakt @ mechlab-engineering.de' dekodiert. Nur generische Mail."
"medicalmotion GmbH";"https://www.medicalmotion.com/";"Vielleicht";"• Digitale Schmerztherapie-Plattform (App), zertifiziertes Medizinprodukt (Klasse 1 MDR)
• KI-gestützte Physiotherapie, Meditationen, Atemübungen
• Personalisierte Therapie nach individuellem Schmerzprofil
• Health Cockpit zur Fortschrittsverfolgung, mehrere klinische Studien";"Sven Klimpel";"contact@medicalmotion.de; info@medicalmotion.de; support@medicalmotion.de";"";"Mails woertlich von Website; GF laut Handelsregister. Nur generische Mails, kein persoenliches Muster."
"Meerkat.ai GmbH";"https://www.meerkat.ai/";"Vielleicht";"• Software-Beratung und -Entwicklung für digitale Transformation
• Enterprise AI, Deep Learning, Big-Data-Analytics, IoT, Geo-Processing
• Branchen: Logistik, Schifffahrt, Verteidigung
• Tech-Stack Java, Python, React";"Fabian J. Crabus, Rosanne Jakobs";"info@meerkat.ai";"";"info@ woertlich von Website; GF laut Handelsregister. Nur generische Mail."
"Merantix Momentum GmbH";"http://www.merantix-momentum.com/";"Ja";"• KI-Transformationspartner für Unternehmen
• KI-Strategie, maßgeschneiderte KI-Entwicklung, KI-Betrieb
• Kunden u.a. Siemens, Zalando, Porsche Digital
• Teil des Merantix-Ökosystems am AI Campus Berlin";"Thomas Wollmann, Elena Delbianco, Paul Rupprecht";"info@merantix-momentum.com; jacob.yanai@merantix-momentum.com; momentum@merantix.com";"thomas.wollmann@merantix-momentum.com (rekonstruiert)";"GF (Managing Directors) und Mails woertlich aus Impressum. Muster vorname.nachname@ belegt durch jacob.yanai@ -> GF-Mail rekonstruiert."
"Mercury.ai GmbH";"https://mercury.ai/";"Vielleicht";"• Conversational-AI: Chat- und Voicebots für Kundenservice
• No-Code-Plattform für Fachabteilungen
• Orchestrierte, spezialisierte KI-Modelle statt Standard-LLM
• DSGVO-konform, Hosting in Deutschland";"Johannes Tappmeier";"hi@mercury.ai";"";"Impressum: 'vertreten durch den Geschaeftsfuehrer Johannes Tappmeier'; hi@ woertlich. Nur generische Mail."
"MESASIGHT GmbH";"https://www.mesasight.com/";"Ja";"• Computer Vision und Deep Learning für Sicherheits-Sensorik
• Bedrohungserkennung in Röntgen-/CT-Scans, Millimeterwellen, Satellitenbildern
• Videoanomalie-Erkennung für Flughäfen, Grenzen, Events
• F&E produktionsreifer KI-Bildanalyse";"Dr. Athanasios Karamalis";"";"";"GF laut Legal Notice/Websuche; E-Mail auf Seite Cloudflare-geschuetzt ([email protected]), nicht lesbar."
"DeepMetis";"https://www.deepmetis.com/";"Vielleicht";"• KI-Beratung und -Implementierung für Unternehmen
• Produkt PrivateGPT (sichere KI-Lösungen)
• Workshops, Prototyping, Skalierung
• 200+ Kunden, u.a. Siemens, TU Berlin";"Ferdinand Biere (Managing Director)";"";"";"GF woertlich aus Imprint; E-Mail auf Seite Cloudflare-geschuetzt ([email protected]), nicht lesbar."
"MF MoreFuture. Die KI-Beratung GmbH";"https://www.more-future.ai/";"Vielleicht";"• KI-Beratungsagentur in Köln, Fokus generative KI
• Strategie, Roadmaps, Prozessanalyse
• KI-Agent-Entwicklung und Implementierung
• Schulungen und Nachbetreuung";"Tom Ebertz";"info@more-future.ai";"";"info@ woertlich von Website; GF laut Handelsregister/Websuche. Nur generische Mail."
"MI4People gGmbH";"https://de.mi4people.org/";"Ja";"• Gemeinnützige Organisation für KI mit sozialem Impact
• Eigene ML-/CV-Projekte: Herzerkrankungserkennung, Meeresplastik-Detektion, COVID-Test-Erkennung
• KIISS-Programm und Chatbots (aska) für Sozialunternehmen
• Gefördert durch Bund und EU";"Dr. Paul Springer";"info@mi4people.org";"";"Impressum: 'Vertreten durch: Dr. Paul Springer'; info@ woertlich. Gemeinnuetzig. Nur generische Mail."
"Micropsi Industries GmbH";"https://www.micropsi-industries.com/";"Ja";"• KI-gestützte Machine-Vision-Software für Industrieroboter
• Hauptprodukt MIRAI: Robotersteuerung bei Variabilität
• Handhabung reflektiver/transparenter Objekte ohne CAD/Kalibrierung
• Kunden u.a. Tesla, Bosch, Mercedes-Benz, BMW";"Ronnie Vuine (vertreten durch)";"contact@micropsi-industries.com";"";"Impressum: vertreten durch Ronnie Vuine. Nur generische Mail belegt, kein persoenliches Muster."
"milia GmbH";"https://milia.io/";"Vielleicht";"• KI-Kollaborations- und Automatisierungsplattform für Steuerkanzleien (DATEV)
• Mandanten-Kollaboration, Kanzlei-Management
• KI-Assistent für Routineaufgaben und internen Chat
• DSGVO-konform, deutsches Hosting";"Tilman Walch, Michel Menk (Verantwortlicher: Tilman Walch)";"info@milia.io";"";"Impressum. Nur generische Mail, kein persoenliches Muster belegt."
"Mindpeak GmbH";"https://www.mindpeak.ai/";"Ja";"• KI-basierte Analyse von Gewebeproben (Pathologie)
• Biomarker-Entdeckung, automatisierte Tumor-Analyse (Brustkrebs, PD-L1, HER2)
• Produkte: Phenoscout AI, peakDx u.a.
• ISO 13485, 11 CE-IVD-Zertifizierungen";"Felix Faber (CEO & Founder)";"info@mindpeak.ai";"";"/impressum liefert 404; Impressumsangaben im Footer/Company-Info. GF aus Website. Nur generische Mail."
"Mindverse (Relativity GmbH)";"https://www.mind-verse.de/";"Vielleicht";"• DSGVO-konformes KI-Ökosystem und Tool-Suite, Hosting in Deutschland
• 180+ KI-Tools: Text, Bild, Chat, Recherche, Automatisierung
• Mindverse Studio: individuelle KI-Assistenten auf Firmenwissen
• 500.000+ Nutzer, unabhängig von einzelnen Modellanbietern";"Noel Lorenz";"info@relativitygmbh.de";"";"Impressum der Relativity GmbH. Nur generische Mail belegt."
"Modelyzr GmbH";"https://modelyzr.com/";"Vielleicht";"• KI-Plattform für datengetriebene Markterschließung (B2B)
• Identifikation von Marktpotenzialen und Zielkunden
• ML-basiertes Scoring und Priorisierung von Accounts
• Läuft auf SAP BTP, Integration mit CRM/ERP";"Nils Niehoerster";"info@modelyzr.com";"";"Impressum. Nur generische Mail, kein persoenliches Muster."
"moinAI (knowhere GmbH)";"https://www.moin.ai/";"Vielleicht";"• KI-Plattform für automatisierte Kundenkommunikation
• Chatbots, AI Agents, Live-Chat, Knowledge Base
• Generative KI, 98 Sprachen, No-Code, DSGVO
• 170+ Kunden, 10+ Jahre KI-Erfahrung";"Patrick Zimmermann, Florian Nommensen";"patrick.zimmermann@moin.ai; florian.nommensen@moin.ai; sina.richter@moin.ai; team@moin.ai; gdpr-deletion@moin.ai";"patrick.zimmermann@moin.ai";"Persoenliche GF-Mails woertlich im Impressum belegt (Muster vorname.nachname@moin.ai)."
"Molequle GmbH";"https://molequle.io/";"Vielleicht";"• Plattform zur zentralen, governten Verwaltung von Kundendaten
• 'Governed Context Layer' mit Compliance (DSGVO, EU AI Act)
• ML-basiertes Scoring und Tagging
• Konnektoren zu Marketo, Salesforce, SAP C4C";"Wolfgang Strassburger, Markus Bianchi, Stefan Paulus";"hello@molequle.io";"";"Impressum unter /site-notice (SPA). Nur generische Mail belegt."
"Mondial AI GmbH";"https://www.mondial-ai.com/";"Ja";"• KI-Lösungen für das Gesundheitswesen
• Flaggschiff MEDICALL AI: KI-gestützte Callcenter-/Patientenkommunikation, für Deutsch optimiert
• DSGVO-konform, 24/7 verfügbar
• Fokus medizinische Sprachkommunikation";"";"";"";"Domain nicht erreichbar (DNS loest nicht auf, mondial-ai.com und www)."
"MORESOPHY GmbH";"https://www.moresophy.com/";"Ja";"• KI-Anbieter für souveräne, datengetriebene Lösungen (seit 2001)
• ContextSuite/ContextChat/ContextAnalytics: Verknüpfung strukturierter/unstrukturierter Daten, NL-Abfrage
• Patentierte hybride KI-Technologie DAPHY
• Kombiniert analytische und generative KI";"Prof. Dr. Heiko Beier, Dr. Christoph Schmidt";"info@moresophy.com";"";"Impressum. Nur generische Mail belegt."
"Motius GmbH";"https://ai.motius.de/";"Ja";"• R&D-Unternehmen für neue Technologien (München, seit 2013)
• IoT, Deep Learning für autonomes Fahren, VR/AR, Data Science
• Kernteam plus großer Talentpool von Tech-Experten
• Kunden: Mittelstand und Konzerne (u.a. BMW)";"Zied Bahrouni, Daniel Weiss (Managing Director)";"info@motius.de; info@eigenblue.ai";"";"Motius firmiert jetzt als eigenblue. Nur generische Mails belegt, kein persoenliches Muster."
"MuseMachine UG";"https://musemachine.de/";"Vielleicht";"• KI-gestützte Kreativwerkzeuge für Teams
• Produkt MuseBoard: Canvas-Plattform, wandelt Prompts in visuelle Konzepte
• KI-Bildgenerierung mit stilistischer Kontrolle, Moodboarding
• Europäische Alternative zu generischen KI-Plattformen";"Kai Kauper";"";"";"Impressum unter /legal/legal-disclosure. E-Mail nur verschluesselt dargestellt, nicht woertlich auslesbar."
"Nao Intelligence GmbH";"https://naointelligence.com/";"Vielleicht";"• Strategischer Innovationspartner für Mittelstand und Startups (Düsseldorf)
• Entwicklung individueller KI-Lösungen vom Prototyp bis zur Marktreife
• KI-Strategieberatung und Schulungen
• Produktentwicklung fortgeschrittener Softwarelösungen";"Daisuke Spielvogel";"hello@naointelligence.com; info@naointelligence.com";"";"Impressum. Nur generische Mails belegt."
"Natif AI";"https://natif.ai/de/";"Ja";"• Intelligent Document Processing / Dokumenten-KI, OCR und Datenextraktion
• Lösungen jetzt Teil des DocuWare-Portfolios
• Automatisierte Dokumentenverarbeitung und -management
• KI-basierte Extraktion strukturierter Daten aus Dokumenten";"";"";"";"natif.ai von DocuWare uebernommen; /impressum leitet auf start.docuware.com um, kein eigenes Impressum mehr."
"Neo.Law Technology GmbH";"https://neo-law.de/";"Ja";"• KI-gestützte Vertragsprüfungssoftware (Düsseldorf)
• Produkt neo:sense: Sprachmodell plus regelbasierte ContractEngine und Playbooks
• Erkennt kritische/nicht-konforme Klauseln mit Begründung
• Zielgruppen: Kanzleien, Rechtsabteilungen, Einkauf, Vertrieb";"Steffen Heym";"info@neo-law.de";"";"Impressum (info[at]neo-law.de dekodiert). Nur generische Mail belegt."
"Neofonie GmbH";"http://www.neofonie.de/";"Vielleicht";"• Full-Service-Digitalagentur (Berlin, 25+ Jahre)
• E-Commerce, CMS, Mobile-Entwicklung
• KI-Bereich (Tochter ontolux): Text-Mining, intelligente Suche, ML-Beratung
• ca. 90 Spezialisten, Kunden aus Versicherung/Handel/Medien";"Nurhan Yildirim, Oliver Paulus";"kontakt@neofonie.de";"";"Impressum. Nur generische Mail belegt."
"neuland AI";"https://neuland-ai.com/";"Vielleicht";"• KI- und Transformationsberatung für Mittelstand/öffentliche Verwaltung (Köln, seit 2013)
• neuland.ai HUB: patentierte Plattformtechnologie für sichere, nachvollziehbare KI-Antworten
• Industry Competence Models für 20+ Branchen
• Strategieberatung, Implementierung, Schulung, EU-AI-Act/DSGVO-konform";"Karl-Heinz Land, Yunus Philip Uyargil (Vorstand)";"";"";"Impressum vorhanden (Vorstand/AG). E-Mail im Impressum verschleiert/nicht woertlich auslesbar."
"neunzehn innovations GmbH";"https://www.neunzehn.io/";"Vielleicht";"• KI-Beratung und -Implementierung, Fokus generative KI (Heidelberg)
• Wissensmanagement, Supply Chain, Customer Service/Sales
• Schnelle Projektumsetzung mit messbarem Mehrwert
• Kunden u.a. Junker-Filter, CargoLine, Stadtmobil";"Frank Rust, Dr. Thomas Prexl";"kontakt@neunzehn.io";"";"Impressum. Nur generische Mail belegt."
"NEURA Robotics";"https://neura-robotics.com/de/";"Ja";"• Kognitive Robotik (Metzingen, seit 2019, 1.400+ Mitarbeiter)
• Humanoider Roboter 4NE1, Service-Roboter MiPA, Cobots (LARA/MAiRA)
• Neuraverse: offenes Robotik-Ökosystem
• Roboter mit Sehen/Hören/Tasten, autonom und lernend";"David Reger (Geschaeftsfuehrer / Managing Director)";"";"";"Impressum vorhanden. E-Mail Cloudflare-verschluesselt, nicht woertlich auslesbar."
"neuraflow GmbH";"https://www.neuraflow.de/";"Ja";"• KI-Lösungen für Kommunen und öffentliche Verwaltung
• Chatbot neurabot, Voicebot neuraphone, Info-Terminal neurapoint
• neurapolis: KI-Schreibtisch für Verwaltungsdokumente
• 200+ Kommunen, DSGVO-konform, EU-Server";"Dustin Klepper, Pascal Nobereit";"hello@neuraflow.de";"";"Impressum. Nur generische Mail belegt, kein persoenliches Muster."
